time,step,detector_0,detector_1,detector_2,detector_3,detector_4,detector_5,detector_6,detector_7,detector_8,detector_9
2.2076449205824168e-08,1040,4.041909087070043e-14,-1.2633636300459806e-13,-1.1498384901909868e-13,-2.4194604642514813e-14,-1.579438252078093e-13,-4.525197568428199e-06,-0.015905308608742064,-7.5147957621015644e-06,0.18635333820632063,-0.0010066895613641419
2.2288722755880168e-08,1050,1.5590235740537534e-16,1.155848050003404e-13,-1.1053840408218851e-13,-1.3954949410577314e-13,-2.3545108401191476e-13,-0.00019326987260051838,0.0031976338009588566,-3.030094688825028e-07,0.626332105843981,-0.00033741920339758517
2.250099630593617e-08,1060,1.4229761668474128e-15,2.5460655367178253e-13,-3.4673087230728624e-14,-2.2098302508304624e-13,-2.3785773167301015e-13,-0.004602457382712923,0.006480730062570563,2.382357690281188e-06,0.5954486025165144,-7.10614132662055e-05
2.2713269855992173e-08,1070,1.5211254611762175e-14,1.431086388641389e-13,3.406228741345363e-15,-1.824028722441846e-13,-5.676496234326048e-13,-0.057194977935340785,-0.002726658752683212,1.1654155003355592e-05,-0.048879129757171694,-1.814192675914636e-05
2.2925543406048172e-08,1080,-1.6545445822370848e-14,-1.0629128355931412e-13,-2.864503017573334e-14,-2.5140544875359223e-14,-8.501843305014648e-11,-0.33313845027763805,-0.000596883160855932,0.0003674837177925352,0.015753115346721993,-8.449723729713005e-06
2.3137816956104175e-08,1090,-6.524885058167514e-14,-2.3815833522957957e-13,-5.533969518279022e-14,1.5462484083263316e-13,-1.1330831993473122e-08,-0.7384773897347475,5.234139003042199e-05,0.007637673691662308,-0.009015446830097149,-4.916948863789493e-06
2.3350090506160178e-08,1100,-4.22746673724157e-14,-1.3001318051852857e-13,4.648606645588577e-15,2.3801970324457835e-13,-9.355724723741199e-07,-0.3238898626344673,6.449162284558432e-05,0.08248515265384347,0.0012915746445468013,-2.233833298207498e-06
2.3562364056216177e-08,1110,5.97457449773647e-14,8.848402827144739e-14,1.2279384826715514e-13,1.7877274241318348e-13,-4.651582180588814e-05,0.08315422634406695,2.7539410011554285e-05,0.4109524926548485,0.0008780619119991245,-3.9788467148079847e-07
2.377463760627218e-08,1120,1.1903504996168755e-13,1.8925506084866916e-13,1.7217251846115244e-13,3.796519939988026e-14,-0.0013408601414577536,-0.021894719486724546,8.789174130846329e-06,0.7442075467793025,0.00014403799082430405,2.7237814948156435e-07
2.3986911156328182e-08,1130,3.445432929868198e-14,9.42088922505099e-14,6.468347879732853e-14,-1.3474153253266366e-13,-0.021225975698372875,0.002161844662295582,3.3299731398320485e-06,0.19742990125244073,-8.289634479151023e-07,1.4743715163705487e-07
2.419918470638418e-08,1140,-1.1807203978650335e-13,-6.449554221512384e-14,-1.3121309424674894e-13,-1.4132626936873397e-11,-0.16971424242902014,0.0019691198254407384,9.085751085926021e-05,-0.0633114723143285,-7.096862928449052e-06,-4.692554344692832e-08
2.4411458256440184e-08,1150,-1.4836393448592047e-13,-1.202000124196548e-13,-2.3781343555361134e-13,-2.0368792398546226e-09,-0.5915784078244409,-2.9858010595072086e-05,0.0023303882505130657,0.013019434983900353,-7.341913910272553e-07,-2.5288621710879754e-08
2.4623731806496187e-08,1160,5.780089457324229e-15,-5.0128706085828006e-14,-1.4209187381383898e-13,-1.8742578648396434e-07,-0.6364402217051939,-0.00019219276577711974,0.032337397540336196,0.0018646892541282572,2.204080201436505e-06,1.746741559884302e-08
2.4836005356552186e-08,1170,1.7431607634958545e-13,3.296470671440272e-14,8.075635278359344e-14,-1.0683901473967803e-05,0.02757850619049952,-9.136375812950305e-05,0.22414144624926044,-0.0019660347778695368,2.232140787213304e-06,-2.1968571063173534e-09
2.504827890660819e-08,1180,1.4469171934019165e-13,4.202669256840548e-14,2.3132258210565255e-13,-0.00036525343357626415,-0.004887835819573,-3.626079612277459e-05,0.6588797621552442,-0.0004117551110395307,1.0608008633182177e-06,-2.6626950119733376e-09
2.526055245666419e-08,1190,-6.725404609506434e-14,9.295578817397065e-15,1.6707923236175027e-13,-0.007158070479192017,0.009258124104955006,-1.375062929887181e-05,0.5395835536902044,4.814313480620193e-05,4.7728760069812104e-08,2.364777850587755e-09
