theta_a_deg,theta_b_deg,theta_diff_deg,correlation,correlation_std,n_trials
45.0,55.0,-10.0,-0.9697067215947323,0.05928505678824272,100
45.0,60.0,-15.0,-0.9422150475981533,0.06040098448267281,100
45.0,65.0,-20.0,-0.8897096754936584,0.05873421301781103,100
45.0,70.0,-25.0,-0.8196725891244874,0.05805992197677535,100
45.0,75.0,-30.0,-0.7449937026932416,0.0562781498243715,100
45.0,80.0,-35.0,-0.6724264859003583,0.05768081838044633,100
45.0,85.0,-40.0,-0.5834872517475177,0.05895997838963899,100
45.0,90.0,-45.0,-0.4894385127722328,0.054612237067152285,100
50.0,0.0,50.0,-0.4119312579499433,0.05671705486767219,100
50.0,5.0,45.0,-0.5036922821178189,0.05846906706772669,100
50.0,10.0,40.0,-0.5837547933926708,0.05361205739129082,100
50.0,15.0,35.0,-0.6763865047273758,0.05481585891519055,100
50.0,20.0,30.0,-0.7431852648626469,0.05992216699238287,100
50.0,25.0,25.0,-0.8152603642513613,0.0572131304836005,100
50.0,30.0,20.0,-0.8891670500368862,0.05561855472866071,100
50.0,35.0,15.0,-0.9336015552892115,0.061371351375020304,100
50.0,40.0,10.0,-0.9655702749415148,0.057355838835884014,100
50.0,45.0,5.0,-0.999341611457251,0.05459525932234324,100
50.0,50.0,0.0,-0.9909141765439078,0.055337961042104915,100
50.0,55.0,-5.0,-0.9902890943480657,0.05916826407728316,100
50.0,60.0,-10.0,-0.9702864436320052,0.06330727615281447,100
50.0,65.0,-15.0,-0.9301985375148896,0.05586442364365504,100
50.0,70.0,-20.0,-0.8840098273085527,0.054844972679532755,100
50.0,75.0,-25.0,-0.8299181099378542,0.059026133852578336,100
50.0,80.0,-30.0,-0.7485168743033167,0.05634691879995866,100
50.0,85.0,-35.0,-0.6676443389075659,0.05907348700743955,100
50.0,90.0,-40.0,-0.5845574783179511,0.05271429699483368,100
55.0,0.0,55.0,-0.33465788181008516,0.06080006697253924,100
55.0,5.0,50.0,-0.4330215626570277,0.05224124826986975,100
55.0,10.0,45.0,-0.505129977057262,0.05390877170609316,100
55.0,15.0,40.0,-0.5913227461946325,0.057199894435417294,100
55.0,20.0,35.0,-0.6703008919017043,0.06140039538072522,100
55.0,25.0,30.0,-0.7459827664002198,0.06143171598626662,100
55.0,30.0,25.0,-0.822356361300804,0.058379394701246645,100
55.0,35.0,20.0,-0.8881570790697708,0.056625261374717316,100
55.0,40.0,15.0,-0.9360693969908265,0.05779403327749463,100
55.0,45.0,10.0,-0.9692840975834326,0.054875235960462884,100
55.0,50.0,5.0,-0.9960225261621486,0.060278805890341736,100
55.0,55.0,0.0,-0.9879092703477619,0.06061719083453723,100
55.0,60.0,-5.0,-0.9822023659445405,0.05961641273593131,100
